terme,coef,se,t,p,variable,libelle,moyenne_ref,n,wald_F,wald_p,r2_within_classes
clsIntrusive,0.198622870512584,0.106957529710831,1.85702559744581,0.0773901363692612,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsLimestone,0.116074407292975,0.0544507828157236,2.13173073536522,0.0450023749971725,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsQuartzite,0.199728584629606,0.0880712536307415,2.26780676322621,0.0340140375545939,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsSandstone,0.0859942238668489,0.062474853691004,1.37646138864398,0.183179282956825,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsSchist,0.144180844167458,0.0859111014909867,1.67825626333733,0.108118133882068,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsShale,0.199242432982798,0.0834443530892696,2.38772817580174,0.0264293076339078,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsBasalt,0.00825117300108135,0.0469261033725994,0.175833329598368,0.862193014955523,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsCharnockite,1.1421430562757,1.18644656795662,0.962658654104229,0.34721455161622,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsGneiss,0.399714268489295,0.368001640344683,1.08617523583566,0.290320023023447,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsIntrusive,0.151962171028936,0.212445371585973,0.715299984624236,0.482691325847439,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsLimestone,0.104354166039316,0.094079259930337,1.10921542236395,0.280497352777269,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsQuartzite,0.244596380308076,0.284126838314814,0.860870383659644,0.399512619595318,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsSandstone,0.0113961128678621,0.0318257973028383,0.358077843562642,0.724036599851469,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsSchist,0.252885101218287,0.236740764398296,1.06819415684926,0.298157223360791,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsShale,0.133668213865731,0.181002025106094,0.738490156601184,0.468794834370179,canal_sh,part irriguee par canal,0.0745846866715545,17153,2.06449727648157,0.0849544319903566,0.00121899891816102
clsBasalt,5.9917606256839,3.73564221757784,1.60394392093815,0.123661406701543,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsCharnockite,17.0035431375429,7.23868358624002,2.3489827860227,0.0286895855959799,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsGneiss,3.2382298155008,3.98861781306553,0.811867661246789,0.42597503295557,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsIntrusive,12.3719656753917,3.8780183567311,3.19028032807466,0.00440164146798436,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsLimestone,2.6464220875889,2.62376907221073,1.00863376873296,0.324631591195456,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsQuartzite,19.2415883441178,9.97704930149189,1.92858507186494,0.0674101360610153,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsSandstone,8.85057544715328,9.3906769328177,0.94248535121287,0.356661331285197,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsSchist,8.10761192849603,4.45879507316354,1.81834145670741,0.0833054147846678,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
clsShale,7.81422259034649,2.42400276862238,3.22368550543674,0.00407321531759666,dist_town,distance a la ville (km),24.3405452726363,19614,6.05730491990736,0.000330853714047336,0.0423152812520972
